Month,Year,Name,Mean
January,2011,Rapides,7.8
February,2011,Rapides,6.477777778
March,2011,Rapides,9.890909091
April,2011,Rapides,9.21
May,2011,Rapides,7.86
June,2011,Rapides,11.39
July,2011,Rapides,7.32
August,2011,Rapides,11.71818182
September,2011,Rapides,9.588888889
October,2011,Rapides,8.691666667
November,2011,Rapides,6.144444444
December,2011,Rapides,6.438461538
January,2011,East Baton Rouge,9.538709677
February,2011,East Baton Rouge,9.2
March,2011,East Baton Rouge,9.309677419
April,2011,East Baton Rouge,9.776666667
May,2011,East Baton Rouge,9.667741935
June,2011,East Baton Rouge,12.78333333
July,2011,East Baton Rouge,9.183870968
August,2011,East Baton Rouge,13.93333333
September,2011,East Baton Rouge,11.08275862
October,2011,East Baton Rouge,10.77419355
November,2011,East Baton Rouge,7.671428571
December,2011,East Baton Rouge,8.016129032
January,2011,East Baton Rouge,9.8
February,2011,East Baton Rouge,10.7
March,2011,East Baton Rouge,10.2
April,2011,East Baton Rouge,10
May,2011,East Baton Rouge,8.85
June,2011,East Baton Rouge,3.15
July,2011,East Baton Rouge,9.1
August,2011,East Baton Rouge,4.5
September,2011,East Baton Rouge,11.06666667
October,2011,East Baton Rouge,12.96666667
November,2011,East Baton Rouge,9.15
December,2011,East Baton Rouge,7.766666667
January,2011,Iberville,7.74
February,2011,Iberville,8.655555556
March,2011,Iberville,8.463636364
April,2011,Iberville,9.88
May,2011,Iberville,8.944444444
June,2011,Iberville,11.7
July,2011,Iberville,6.86
August,2011,Iberville,12.33636364
September,2011,Iberville,10.93
October,2011,Iberville,9.79
November,2011,Iberville,7.6
December,2011,Iberville,9.15
January,2011,St. Bernard,8.78
February,2011,St. Bernard,9.82
March,2011,St. Bernard,10.66
April,2011,St. Bernard,12.06
May,2011,St. Bernard,14.58
June,2011,St. Bernard,13.975
July,2011,St. Bernard,8.72
August,2011,St. Bernard,13.56666667
September,2011,St. Bernard,13.34
October,2011,St. Bernard,8.56
November,2011,St. Bernard,7.2
December,2011,St. Bernard,7.4
January,2011,Ascension,9.87
February,2011,Ascension,8.944444444
March,2011,Ascension,9.763636364
April,2011,Ascension,6.822222222
May,2011,Ascension,10.04166667
June,2011,Ascension,13.05555556
July,2011,Ascension,8.081818182
August,2011,Ascension,11.78
September,2011,Ascension,13.08
October,2011,Ascension,11.73
November,2011,Ascension,7.822222222
December,2011,Ascension,8.64
January,2011,Tangipahoa,7.03
February,2011,Tangipahoa,9.3375
March,2011,Tangipahoa,9.172727273
April,2011,Tangipahoa,8.81
May,2011,Tangipahoa,9.99
June,2011,Tangipahoa,11.76
July,2011,Tangipahoa,8.03
August,2011,Tangipahoa,13.14545455
September,2011,Tangipahoa,11.42
October,2011,Tangipahoa,9.71
November,2011,Tangipahoa,6.6
December,2011,Tangipahoa,6.96
January,2011,Tangipahoa,9.733333333
February,2011,Tangipahoa,8.5
March,2011,Tangipahoa,8.9
April,2011,Tangipahoa,7.8
May,2011,Tangipahoa,5.366666667
June,2011,Tangipahoa,10.25
July,2011,Tangipahoa,8.8
August,2011,Tangipahoa,20.6
September,2011,Tangipahoa,14.7
October,2011,Tangipahoa,8.333333333
November,2011,Tangipahoa,5.95
December,2011,Tangipahoa,5.633333333
January,2011,Terrebonne,6.99
February,2011,Terrebonne,8.177777778
March,2011,Terrebonne,8.854545455
April,2011,Terrebonne,9.12
May,2011,Terrebonne,9.081818182
June,2011,Terrebonne,10.83
July,2011,Terrebonne,6.71
August,2011,Terrebonne,10.71666667
September,2011,Terrebonne,10.56
October,2011,Terrebonne,9.85
November,2011,Terrebonne,6.68
December,2011,Terrebonne,6.15
January,2011,Jefferson,8.151612903
February,2011,Jefferson,9.021428571
March,2011,Jefferson,8.720689655
April,2011,Jefferson,8.746666667
May,2011,Jefferson,8.83
June,2011,Jefferson,12.04333333
July,2011,Jefferson,8.3
August,2011,Jefferson,12.69677419
September,2011,Jefferson,10.96785714
October,2011,Jefferson,9.067741935
November,2011,Jefferson,6.093333333
December,2011,Jefferson,7.364516129
January,2011,Lafayette,7.14
February,2011,Lafayette,7.611111111
March,2011,Lafayette,8.536363636
April,2011,Lafayette,9.33
May,2011,Lafayette,8.52
June,2011,Lafayette,12.03
July,2011,Lafayette,6.72
August,2011,Lafayette,11.3
September,2011,Lafayette,9.761538462
October,2011,Lafayette,10.97
November,2011,Lafayette,8.03
December,2011,Lafayette,7.825
January,2011,Lafayette,7.14
February,2011,Lafayette,7.611111111
March,2011,Lafayette,8.536363636
April,2011,Lafayette,9.33
May,2011,Lafayette,8.52
June,2011,Lafayette,12.03
July,2011,Lafayette,6.72
August,2011,Lafayette,11.3
September,2011,Lafayette,9.761538462
October,2011,Lafayette,10.97
November,2011,Lafayette,8.03
December,2011,Lafayette,7.825
January,2011,Calcasieu,6.86
February,2011,Calcasieu,7.466666667
March,2011,Calcasieu,10.42727273
April,2011,Calcasieu,8.8
May,2011,Calcasieu,8.82
June,2011,Calcasieu,12.15
July,2011,Calcasieu,7.927272727
August,2011,Calcasieu,9.690909091
September,2011,Calcasieu,11.22
October,2011,Calcasieu,9.21
November,2011,Calcasieu,6.68
December,2011,Calcasieu,6.84
January,2011,Jefferson,7.89
February,2011,Jefferson,9.344444444
March,2011,Jefferson,9.163636364
April,2011,Jefferson,8.79
May,2011,Jefferson,9.16
June,2011,Jefferson,12.9
July,2011,Jefferson,7.19
August,2011,Jefferson,12.88181818
September,2011,Jefferson,10.81
October,2011,Jefferson,9.01
November,2011,Jefferson,6.345454545
December,2011,Jefferson,6.93
January,2011,Ouachita,7.47
February,2011,Ouachita,8.255555556
March,2011,Ouachita,9.27
April,2011,Ouachita,8.09
May,2011,Ouachita,9.25
June,2011,Ouachita,13.33
July,2011,Ouachita,9.077777778
August,2011,Ouachita,12.15
September,2011,Ouachita,13.17
October,2011,Ouachita,8.755555556
November,2011,Ouachita,7.03
December,2011,Ouachita,6.3
January,2011,West Baton Rouge,9.825806452
February,2011,West Baton Rouge,9.911538462
March,2011,West Baton Rouge,10.23666667
April,2011,West Baton Rouge,10.95714286
May,2011,West Baton Rouge,11.88928571
June,2011,West Baton Rouge,12.89666667
July,2011,West Baton Rouge,10.64230769
August,2011,West Baton Rouge,14.39655172
September,2011,West Baton Rouge,13.31
October,2011,West Baton Rouge,11.7
November,2011,West Baton Rouge,8.856666667
December,2011,West Baton Rouge,9.003225806
January,2011,Caddo,8.76
February,2011,Caddo,10.26666667
March,2011,Caddo,12.93636364
April,2011,Caddo,14.17
May,2011,Caddo,14.81
June,2011,Caddo,14.3
July,2011,Caddo,12.1
August,2011,Caddo,13.9
September,2011,Caddo,13.375
October,2011,Caddo,10.61
November,2011,Caddo,9.32
December,2011,Caddo,10.36
January,2011,Caddo,7.1
February,2011,Caddo,11.375
March,2011,Caddo,11.575
April,2011,Caddo,12.2
May,2011,Caddo,7.533333333
June,2011,Caddo,14.5
July,2011,Caddo,11.16666667
August,2011,Caddo,13.36666667
September,2011,Caddo,16.1
October,2011,Caddo,5.833333333
November,2011,Caddo,9.55
December,2011,Caddo,14.05
January,2011,Calcasieu,6.44
February,2011,Calcasieu,6.477777778
March,2011,Calcasieu,11.1
April,2011,Calcasieu,11.54
May,2011,Calcasieu,8.79
June,2011,Calcasieu,12.02
July,2011,Calcasieu,7.454545455
August,2011,Calcasieu,9.281818182
September,2011,Calcasieu,11.47272727
October,2011,Calcasieu,10.47
November,2011,Calcasieu,6
December,2011,Calcasieu,6.39
