Month,Year,Name,Mean
January,2014,Rapides,5.72
February,2014,Rapides,9.741666667
March,2014,Rapides,6.79
April,2014,Rapides,8.02
May,2014,Rapides,6.44
June,2014,Rapides,7.644444444
July,2014,Rapides,9.930769231
August,2014,Rapides,8.245454545
September,2014,Rapides,7.045454545
October,2014,Rapides,5.516666667
November,2014,Rapides,6.753846154
December,2014,Rapides,8.18
January,2014,East Baton Rouge,7.517241379
February,2014,East Baton Rouge,7.996428571
March,2014,East Baton Rouge,8.176666667
April,2014,East Baton Rouge,8.52
May,2014,East Baton Rouge,8.516666667
June,2014,East Baton Rouge,7.986666667
July,2014,East Baton Rouge,10.4
August,2014,East Baton Rouge,10.73225806
September,2014,East Baton Rouge,8.722727273
October,2014,East Baton Rouge,8.373333333
November,2014,East Baton Rouge,8.263333333
December,2014,East Baton Rouge,9.129032258
January,2014,East Baton Rouge,5
February,2014,East Baton Rouge,10.825
March,2014,East Baton Rouge,9.533333333
April,2014,East Baton Rouge,8.3
May,2014,East Baton Rouge,9.7
June,2014,East Baton Rouge,6.433333333
July,2014,East Baton Rouge,14.95
August,2014,East Baton Rouge,17.4
September,2014,East Baton Rouge,10.7
October,2014,East Baton Rouge,10.65
November,2014,East Baton Rouge,7.2
December,2014,East Baton Rouge,4.575
January,2014,Iberville,6.781818182
February,2014,Iberville,8.377777778
March,2014,Iberville,7.618181818
April,2014,Iberville,8.16
May,2014,Iberville,6.14
June,2014,Iberville,5.63
July,2014,Iberville,9.327272727
August,2014,Iberville,8.37
September,2014,Iberville,7.59
October,2014,Iberville,6.86
November,2014,Iberville,8.244444444
December,2014,Iberville,9.86
January,2014,St. Bernard,6.7
February,2014,St. Bernard,9.585714286
March,2014,St. Bernard,8.34
April,2014,St. Bernard,10.62
May,2014,St. Bernard,10.24
June,2014,St. Bernard,11.46
July,2014,St. Bernard,13
August,2014,St. Bernard,11.35
September,2014,St. Bernard,10.85
October,2014,St. Bernard,8.75
November,2014,St. Bernard,5.2
December,2014,St. Bernard,11.32
January,2014,Ascension,8.15
February,2014,Ascension,12.1
March,2014,Ascension,9.12
April,2014,Ascension,9.27
May,2014,Ascension,7.5
June,2014,Ascension,6.64
July,2014,Ascension,10.32727273
August,2014,Ascension,10.92727273
September,2014,Ascension,8.054545455
October,2014,Ascension,8.077777778
November,2014,Ascension,6.9625
December,2014,Ascension,11.69230769
January,2014,Tangipahoa,7.814285714
February,2014,Tangipahoa,7.766666667
March,2014,Tangipahoa,8.716666667
April,2014,Tangipahoa,8.32
May,2014,Tangipahoa,7.58
June,2014,Tangipahoa,6.65
July,2014,Tangipahoa,11.11818182
August,2014,Tangipahoa,9.633333333
September,2014,Tangipahoa,7.69
October,2014,Tangipahoa,6.78
November,2014,Tangipahoa,6.56
December,2014,Tangipahoa,7.718181818
January,2014,Tangipahoa,6.15
February,2014,Tangipahoa,6.5
March,2014,Tangipahoa,8.066666667
April,2014,Tangipahoa,10.46666667
May,2014,Tangipahoa,9.4
June,2014,Tangipahoa,5.566666667
July,2014,Tangipahoa,10.93333333
August,2014,Tangipahoa,11.3
September,2014,Tangipahoa,8.42
October,2014,Tangipahoa,6.5
November,2014,Tangipahoa,6.92
December,2014,Tangipahoa,8.366666667
January,2014,Terrebonne,6.471428571
February,2014,Terrebonne,7.883333333
March,2014,Terrebonne,7.67
April,2014,Terrebonne,7.71
May,2014,Terrebonne,6.35
June,2014,Terrebonne,5.16
July,2014,Terrebonne,9.772727273
August,2014,Terrebonne,7.6
September,2014,Terrebonne,6.51
October,2014,Terrebonne,6.95
November,2014,Terrebonne,7.86
December,2014,Terrebonne,9.490909091
January,2014,Jefferson,7.991666667
February,2014,Jefferson,7.832142857
March,2014,Jefferson,7.048387097
April,2014,Jefferson,7.03
May,2014,Jefferson,7.137931034
June,2014,Jefferson,7.47
July,2014,Jefferson,9.625806452
August,2014,Jefferson,10.78571429
September,2014,Jefferson,7.226923077
October,2014,Jefferson,7.090322581
November,2014,Jefferson,6.486666667
December,2014,Jefferson,7.425806452
January,2014,Lafayette,7.277777778
February,2014,Lafayette,9.16
March,2014,Lafayette,7.94
April,2014,Lafayette,9.14
May,2014,Lafayette,6.68
June,2014,Lafayette,6.3
July,2014,Lafayette,9.454545455
August,2014,Lafayette,8.66
September,2014,Lafayette,7.1
October,2014,Lafayette,6.790909091
November,2014,Lafayette,8.43
December,2014,Lafayette,9
January,2014,Calcasieu,6.37
February,2014,Calcasieu,7.525
March,2014,Calcasieu,6.416666667
April,2014,Calcasieu,8.47
May,2014,Calcasieu,6.97
June,2014,Calcasieu,6.99
July,2014,Calcasieu,10.97272727
August,2014,Calcasieu,8.22
September,2014,Calcasieu,6.73
October,2014,Calcasieu,6.62
November,2014,Calcasieu,5.766666667
December,2014,Calcasieu,7.35
January,2014,Jefferson,8.5
February,2014,Jefferson,6.641666667
March,2014,Jefferson,7.227272727
April,2014,Jefferson,7.86
May,2014,Jefferson,6.94
June,2014,Jefferson,6.04
July,2014,Jefferson,10.89090909
August,2014,Jefferson,9.84
September,2014,Jefferson,7.28
October,2014,Jefferson,7.73
November,2014,Jefferson,6.77
December,2014,Jefferson,8.118181818
January,2014,Ouachita,6.533333333
February,2014,Ouachita,7.478571429
March,2014,Ouachita,8.25
April,2014,Ouachita,5.333333333
May,2014,Ouachita,7.488888889
June,2014,Ouachita,7.609090909
July,2014,Ouachita,9.763636364
August,2014,Ouachita,9.22
September,2014,Ouachita,8.1
October,2014,Ouachita,6.314285714
November,2014,Ouachita,6.8375
December,2014,Ouachita,6.858333333
January,2014,West Baton Rouge,7.348
February,2014,West Baton Rouge,8.557142857
March,2014,West Baton Rouge,8.832258065
April,2014,West Baton Rouge,9.003333333
May,2014,West Baton Rouge,8.14516129
June,2014,West Baton Rouge,8.451724138
July,2014,West Baton Rouge,11.612
August,2014,West Baton Rouge,11.69677419
September,2014,West Baton Rouge,8.573333333
October,2014,West Baton Rouge,8.425
November,2014,West Baton Rouge,7.968965517
December,2014,West Baton Rouge,8.761290323
January,2014,Caddo,7.3
February,2014,Caddo,11.71111111
March,2014,Caddo,11.52941176
April,2014,Caddo,9.7425
May,2014,Caddo,8.73
June,2014,Caddo,10.01
July,2014,Caddo,12.11
August,2014,Caddo,10.6
September,2014,Caddo,9.6
October,2014,Caddo,9.114285714
